,feature,include,reference
3707,Utility of machine learning of apparent diffusion coefficient (ADC) and T2-weighted (T2W) radiomic features in PI-RADS version 2.1 category 3 lesions to predict prostate cancer diagnosis. To evaluate if machine learning (ML) of radiomic features extracted from apparent diffusion coefficient (ADC) and T2-weighted (T2W) MRI can predict prostate cancer (PCa) diagnosis in Prostate Imaging-Reporting and Data System (PI-RADS) version 2.1 category 3 lesions.,0,0
3709,"Synthetic breath-hold CT generation from free-breathing CT: a novel deep learning approach to predict cardiac dose reduction in deep-inspiration breath-hold radiotherapy. Deep-inspiration breath-hold radiotherapy (DIBH-RT) to reduce the cardiac dose irradiation is widely used but some patients experience little or no reduction. We constructed and compared two prediction models to evaluate the usefulness of our new synthetic DIBH-CT (sCT) model. Ninety-four left-sided breast cancer patients (training cohort: n = 64, test cohort: n = 30) underwent both free-breathing and DIBH planning. The U-Net-based sCT generation model was developed to create the sCT treatment plan. A linear prediction model was constructed for comparison by selecting anatomical predictors of past literature. The primary prediction outcome is the mean heart dose (MHD) reduction, and the coefficient of determination (R2), root mean square error (RMSE) and mean absolute error (MAE) were calculated. Moreover, we evaluated the heart and lungs contours' similarity and Hounsfield unit (HU) difference between both images. The median MHD reduction was 1.14 Gy in DIBH plans and 1.09 Gy in sCT plans (P = 0.96). The sCT model achieved better performance than the linear model (R2: 0.972 vs 0.450, RMSE: 0.120 vs 0.551, MAE: 0.087 vs 0.412). The organ contours were similar between DIBH-CT and sCT: the median Dice (DSC) and Jaccard similarity coefficients (JSC) were 0.912 and 0.838 for the heart and 0.910 and 0.834 for the lungs. The HU difference in the soft-tissue region was smaller than in the air or bone. In conclusion, our new model can generate the affected CT by breath-holding, resulting in high performance and well-visualized prediction, which may have many potential uses in radiation oncology.",0,0
3718,"A deep learning framework for autonomous detection and classification of Crohn's disease lesions in the small bowel and colon with capsule endoscopy. <b>Background and study aimsâ€‚</b> Small bowel ulcerations are efficiently detected with deep learning techniques, whereas the ability to diagnose Crohn's disease (CD) in the colon with it is unknown. This study examined the ability of a deep learning framework to detect CD lesions with pan-enteric capsule endoscopy (CE) and classify lesions of different severity. <b>Patients and methodsâ€‚</b> CEs from patients with suspected or known CD were included in the analysis. Two experienced gastroenterologists classified anonymized images into normal mucosa, non-ulcerated inflammation, aphthous ulceration, ulcer, or fissure/extensive ulceration. An automated framework incorporating multiple ResNet-50 architectures was trained. To improve its robustness and ability to characterize lesions, image processing methods focused on texture enhancement were employed. <b>Resultsâ€‚</b> A total of 7744 images from 38 patients with CD were collected (small bowel 4972, colon 2772) of which 2748 contained at least one ulceration (small bowel 1857, colon 891). With a patient-dependent split of images for training, validation, and testing, ulcerations were diagnosed with a sensitivity, specificity, and diagnostic accuracy of 95.7â€Š% (CI 93.4-97.4), 99.8â€Š% (CI 99.2-100), and 98.4â€Š% (CI 97.6-99.0), respectively. The diagnostic accuracy was 98.5â€Š% (CI 97.5-99.2) for the small bowel and 98.1â€Š% (CI 96.3-99.2) for the colon. Ulcerations of different severities were classified with substantial agreement (Îºâ€Š=â€Š0.72). <b>Conclusionsâ€‚</b> Our proposed framework is in excellent agreement with the clinical standard, and diagnostic accuracies are equally high for the small bowel and colon. Deep learning approaches have a great potential to help clinicians detect, localize, and determine the severity of CD with pan-enteric CE.",0,0
3719,"Deep Learning-Based Functional Independence Measure Score Prediction After Stroke in Kaifukuki (Convalescent) Rehabilitation Ward Annexed to Acute Care Hospital. Introduction Prediction models of functional independent measure (FIM) score after kaifukuki (convalescent) rehabilitation ward (KRW) are needed to decide the treatment strategies and save medical resources. Statistical models were reported, but their accuracies were not satisfactory. We made such prediction models using the deep learning (DL) framework, Prediction One (Sony Network Communications Inc., Tokyo, Japan). Methods Of the 559 consecutive stroke patients, 122 patients were transferred to our KRW. We divided our 122 patients' data randomly into halves of training and validation datasets. Prediction One made three prediction models from the training dataset using (1) variables at the acute care ward admission, (2) those at the KRW admission, and (3) those combined (1) and (2). The models' determination coefficients (R<sup>2</sup>), correlation coefficients (rs), and residuals were calculated using the validation dataset. Results Of the 122 patients, the median age was 71, length of stay (LOS) in acute care ward 23 (17-30) days, LOS in KRW 53 days, total FIM scores at the admission of KRW 85, those at discharge 108. The mean FIM gain and FIM efficiency were 19 and 0.417. All patients were discharged home. Model (1), (2), and (3)'s R<sup>2</sup> were 0.794, 0.970, and 0.972. Their mean residuals between the predicted and actual total FIM scores were -1.56Â±24.6, -4.49Â±17.1, and -2.69Â±15.7. Conclusion Our FIM gain and efficiency were better than national averages of FIM gain 17.1 and FIM efficiency 0.187. We made DL-based total FIM score prediction models, and their accuracies were superior to those of previous statistically calculated ones. The DL-based FIM score prediction models would save medical costs and perform efficient stroke and rehabilitation medicine.",0,0
3720,"A Comparison of Deep Learning Techniques for Arterial Blood Pressure Prediction. Continuous vital signal monitoring is becoming more relevant in preventing diseases that afflict a large part of the world's population; for this reason, healthcare equipment should be easy to wear and simple to use. Non-intrusive and non-invasive detection methods are a basic requirement for wearable medical devices, especially when these are used in sports applications or by the elderly for self-monitoring. Arterial blood pressure (ABP) is an essential physiological parameter for health monitoring. Most blood pressure measurement devices determine the systolic and diastolic arterial blood pressure through the inflation and the deflation of a cuff. This technique is uncomfortable for the user and may result in anxiety, and consequently affect the blood pressure and its measurement. The purpose of this paper is the continuous measurement of the ABP through a cuffless, non-intrusive approach. The approach of this paper is based on deep learning techniques where several neural networks are used to infer ABP, starting from photoplethysmogram (PPG) and electrocardiogram (ECG) signals. The ABP was predicted first by utilizing only PPG and then by using both PPG and ECG. Convolutional neural networks (ResNet and WaveNet) and recurrent neural networks (LSTM) were compared and analyzed for the regression task. Results show that the use of the ECG has resulted in improved performance for every proposed configuration. The best performing configuration was obtained with a ResNet followed by three LSTM layers: this led to a mean absolute error (MAE) of 4.118Â mmHg on and 2.228Â mmHg on systolic and diastolic blood pressures, respectively. The results comply with the American National Standards of the Association for the Advancement of Medical Instrumentation. ECG, PPG, and ABP measurements were extracted from the MIMIC database, which contains clinical signal data reflecting real measurements. The results were validated on a custom dataset created at Neuronica Lab, Politecnico di Torino.",0,0
3722,Artificial Intelligence Analysis of Mandibular Movements Enables Accurate Detection of Phasic Sleep Bruxism in OSA Patients: A Pilot Study. Sleep bruxism (SBx) activity is classically identified by capturing masseter and/or temporalis masticatory muscles electromyographic activity (EMG-MMA) during in-laboratory polysomnography (PSG). We aimed to identify stereotypical mandibular jaw movements (MJM) in patients with SBx and to develop rhythmic masticatory muscles activities (RMMA) automatic detection using an artificial intelligence (AI) based approach.,0,0
3724,"Machine learning-based approach for disease severity classification of carpal tunnel syndrome. Identifying the severity of carpal tunnel syndrome (CTS) is essential to providing appropriate therapeutic interventions. We developed and validated machine-learning (ML) models for classifying CTS severity. Here, 1037 CTS hands with 11 variables each were retrospectively analyzed. CTS was confirmed using electrodiagnosis, and its severity was classified into three grades: mild, moderate, and severe. The dataset was randomly split into a training (70%) and test (30%) set. A total of 507 mild, 276 moderate, and 254 severe CTS hands were included. Extreme gradient boosting (XGB) showed the highest external validation accuracy in the multi-class classification at 76.6% (95% confidence interval [CI] 71.2-81.5). XGB also had an optimal model training accuracy of 76.1%. Random forest (RF) and k-nearest neighbors had the second-highest external validation accuracy of 75.6% (95% CI 70.0-80.5). For the RF and XGB models, the numeric rating scale of pain was the most important variable, and body mass index was the second most important. The one-versus-rest classification yielded improved external validation accuracies for each severity grade compared with the multi-class classification (mild, 83.6%; moderate, 78.8%; severe, 90.9%). The CTS severity classification based on the ML model was validated and is readily applicable to aiding clinical evaluations.",0,0
3730,"Predicting post-operative right ventricular failure using video-based deep learning. Despite progressive improvements over the decades, the rich temporally resolved data in an echocardiogram remain underutilized. Human assessments reduce the complex patterns of cardiac wall motion, to a small list of measurements of heart function. All modern echocardiography artificial intelligence (AI) systems are similarly limited by design - automating measurements of the same reductionist metrics rather than utilizing the embedded wealth of data. This underutilization is most evident where clinical decision making is guided by subjective assessments of disease acuity. Predicting the likelihood of developing post-operative right ventricular failure (RV failure) in the setting of mechanical circulatory support is one such example. Here we describe a video AI system trained to predict post-operative RV failure using the full spatiotemporal density of information in pre-operative echocardiography. We achieve an AUC of 0.729, and show that this ML system significantly outperforms a team of human experts at the same task on independent evaluation.",1,1
3734,"A machine learning approach to predict progression on active surveillance for prostate cancer. Robust prediction of progression on active surveillance (AS) for prostate cancer can allow for risk-adapted protocols. To date, models predicting progression on AS have invariably used traditional statistical approaches. We sought to evaluate whether a machine learning (ML) approach could improve prediction of progression on AS.",0,0
3736,"Detection of dementia on voice recordings using deep learning: a Framingham Heart Study. Identification of reliable, affordable, and easy-to-use strategies for detection of dementia is sorely needed. Digital technologies, such as individual voice recordings, offer an attractive modality to assess cognition but methods that could automatically analyze such data are not readily available.",0,0
3740,"Exploring the diagnostic effectiveness for myocardial ischaemia based on CCTA myocardial texture features. To explore the characteristics of myocardial textures on coronary computed tomography angiography (CCTA) images in patients with coronary atherosclerotic heart disease, a classification model was established, and the diagnostic effectiveness of CCTA for myocardial ischaemia patients was explored.",0,0
3742,"Predicting Chronic Wound Healing Time using Machine Learning to Support Real-Time Clinical Decisions. <b>Objective</b>: Chronic wounds have risen to epidemic proportions in the United States and can have an emotional, physical, and financial toll on patients. By leveraging data within the electronic health record (EHR), machine learning models offer the opportunity to facilitate earlier identification of wounds at risk of not healing or healing after an abnormally long time, which may improve treatment decisions and patient outcomes. Machine learning models in this study were built to predict chronic wound healing time. <b>Approach</b>: Machine learning models were developed using EHR data to predict patients at risk of having wounds not heal within 4, 8, and 12 weeks from the start of treatment. The models were trained on three data sets of 1,220,576 wounds, including 187 covariates describing patient demographics, comorbidities, and wound characteristics. The area under the receiver operating characteristic curve (AUC) was used to assess the accuracy of the models. Shapley Additive Explanations (SHAP) were used to analyze variable importance in predictions and enhance clinical interpretations. <b>Results</b>: The 4, 8, and 12-week gradient boosted decision tree models achieved AUC's of 0.854, 0.855, and 0.853, respectively. Days in treatment, wound depth and location, and wound area were the most influential predictors of wounds at risk of not healing. <b>Innovation</b>: Machine learning models can accurately predict chronic wound healing time using EHR data. SHAP values can give insight into how patient-specific variables influenced predictions. <b>Conclusion</b>: Accurate models identifying patients with chronic wounds at risk of non or slow-healing are feasible and can be incorporated into routine wound care.",0,0
3749,"False Negative Rates in Benign Thyroid Nodule Diagnosis: Machine Learning for Detecting Malignancy. Thyroid nodules are common; up to 67% of adults will show nodules on high-quality ultrasound, and 95% of these nodules are benign. FNA cytology is a crucial step in determining the risk of malignancy, and a false negative diagnosis at this stage delays cancer treatment. The purpose of this study is to develop a predictive model using machine learning which can identify false negative FNA results based on less-invasive clinical data.",0,0
3750,Using State Data to Predict a Single Institution Mortality for Patients That Fall. Falls are the most common cause of injury-related death for patients older than 45.Â  We hypothesized that a machine learning algorithm developed from state-level registry data could make accurate outcome predictions at a level 1 trauma hospital.,0,0
3751,"Accurate lateralization and classification of MRI-negative 18F-FDG-PET-positive temporal lobe epilepsy using double inversion recovery and machine-learning. The main objective of this study was to determine the ability of double inversion recovery (DIR) data coupled with machine-learning algorithms to distinguish normal individuals from epileptic subjects and to identify the laterality of the focus side in MRI-negative, PET-positive temporal lobe epilepsy (TLE) patients.",0,0
3752,An AI-based radiomics nomogram for disease prognosis in patients with COVID-19 pneumonia using initial CT images and clinical indicators. This study utilized a comprehensive nomogram to evaluate the prognosis of patients with COVID-19 pneumonia.,0,0
3758,A machine-learning-based method to predict adverse events in patients with dilated cardiomyopathy and severely reduced ejection fractions. Patients with dilated cardiomyopathy (DCM) and severely reduced left ventricular ejection fractions (LVEFs) are at very high risks of experiencing adverse cardiac events. A machine learning (ML) method could enable more effective risk stratification for these high-risk patients by incorporating various types of data. The aim of this study was to build an ML model to predict adverse events including all-cause deaths and heart transplantation in DCM patients with severely impaired LV systolic function.,0,0
3760,Predicting mortality among patients with liver cirrhosis in electronic health records with machine learning. Liver cirrhosis is a leading cause of death and effects millions of people in the United States. Early mortality prediction among patients with cirrhosis might give healthcare providers more opportunity to effectively treat the condition. We hypothesized that laboratory test results and other related diagnoses would be associated with mortality in this population. Our another assumption was that a deep learning model could outperform the current Model for End Stage Liver disease (MELD) score in predicting mortality.,0,0
3761,"Sociodemographic risk factors of under-five stunting in Bangladesh: Assessing the role of interactions using a machine learning method. This paper aims to demonstrate the importance of studying interactions among various sociodemographic risk factors of childhood stunting in Bangladesh with the help of an interpretable machine learning method. Data used for the analyses are extracted from the Bangladesh Demographic and Health Survey (BDHS) 2014 and pertain to a sample of 6,170 under-5 children. Social and economic determinants such as wealth, mother's decision making on healthcare, parental education are considered in addition to geographic divisions and common demographic characteristics of children including age, sex and birth order. A classification tree was first constructed to identify important interaction-based rules that characterize children with different profiles of risk for stunting. Then binary logistic regression models were fitted to measure the importance of these interactions along with the individual risk factors. Results revealed that, as individual factors, living in Sylhet division (OR: 1.57; CI: 1.26-1.96), being an urban resident (OR: 1.28; CI: 1.03-1.96) and having working mothers (OR: 1.21; CI: 1.02-1.44) were associated with higher likelihoods of childhood stunting, whereas belonging to the richest households (OR: 0.56; CI: 0.35-0.90), higher BMI of mothers (OR: 0.68 CI: 0.56-0.84) and mothers' involvement in decision making about children's healthcare with father (OR: 0.83, CI: 0.71-0.97) were linked to lower likelihoods of stunting. Importantly however, risk classifications defined by the interplay of multiple sociodemographic factors showed more extreme odds ratios (OR) of stunting than single factor ORs. For example, children aged 14 months or above who belong to poor wealth class, have lowly educated fathers and reside in either Dhaka, Barisal, Chittagong or Sylhet division are the most vulnerable to stunting (OR: 2.52, CI: 1.85-3.44). The findings endorse the need for tailored-intervention programs for children based on their distinct risk profiles and sociodemographic characteristics.",0,0
3768,Prediction of Neutropenic Events in Chemotherapy Patients: A Machine Learning Approach. Severe and febrile neutropenia present serious hazards to patients with cancer undergoing chemotherapy. We seek to develop a machine learning-based neutropenia prediction model that can be used to assess risk at the initiation of a chemotherapy cycle.,0,0
3770,"Predicting Future Service Use in Dutch Mental Healthcare: A Machine Learning Approach. A mental healthcare system in which the scarce resources are equitably and efficiently allocated, benefits from a predictive model about expected service use. The skewness in service use is a challenge for such models. In this study, we applied a machine learning approach to forecast expected service use, as a starting point for agreements between financiers and suppliers of mental healthcare. This study used administrative data from a large mental healthcare organization in the Netherlands. A training set was selected using records from 2017 (Nâ€‰=â€‰10,911), and a test set was selected using records from 2018 (Nâ€‰=â€‰10,201). A baseline model and three random forest models were created from different types of input data to predict (the remainder of) numeric individual treatment hours. A visual analysis was performed on the individual predictions. Patients consumed 62Â h of mental healthcare on average in 2018. The model that best predicted service use had a mean error of 21Â min at the insurance group level and an average absolute error of 28Â h at the patient level. There was a systematic under prediction of service use for high service use patients. The application of machine learning techniques on mental healthcare data is useful for predicting expected service on group level. The results indicate that these models could support financiers and suppliers of healthcare in the planning and allocation of resources. Nevertheless, uncertainty in the prediction of high-cost patients remains a challenge.",0,0
3772,Automated Detection of Ischemic Stroke and Subsequent Patient Triage in Routinely Acquired Head CT. Advanced machine-learning (ML) techniques can potentially detect the entire spectrum of pathology through deviations from aÂ learned norm. We investigated the utility of aÂ weakly supervised ML tool to detect characteristic findings related to ischemic stroke in head CT and provide subsequent patient triage.,0,0
3775,"An Artificial Neural Network-Based Pediatric Mortality Risk Score: Development and Performance Evaluation Using Data From a Large North American Registry. In the pediatric intensive care unit (PICU), quantifying illness severity can be guided by risk models to enable timely identification and appropriate intervention. Logistic regression models, including the pediatric index of mortality 2 (PIM-2) and pediatric risk of mortality III (PRISM-III), produce a mortality risk score using data that are routinely available at PICU admission. Artificial neural networks (ANNs) outperform regression models in some medical fields.",0,0
3778,"Deep Learning for Detection of Pulmonary Metastasis on Chest Radiographs. Background A computer-aided detection (CAD) system may help surveillance for pulmonary metastasis at chest radiography in situations where there is limited access to CT. Purpose To evaluate whether a deep learning (DL)-based CAD system can improve diagnostic yield for newly visible lung metastasis on chest radiographs in patients with cancer. Materials and Methods A regulatory-approved CAD system for lung nodules was implemented to interpret chest radiographs from patients referred by the medical oncology department in clinical practice. In this retrospective diagnostic cohort study, chest radiographs interpreted with assistance from a CAD system after the implementation (January to April 2019, CAD-assisted interpretation group) and those interpreted before the implementation (September to December 2018, conventional interpretation group) of the CAD system were consecutively included. The diagnostic yield (frequency of true-positive detections) and false-referral rate (frequency of false-positive detections) of formal reports of chest radiographs for newly visible lung metastasis were compared between the two groups using generalized estimating equations. Propensity score matching was performed between the two groups for age, sex, and primary cancer. Results A total of 2916 chest radiographs from 1521 patients (1546 men, 1370 women; mean age, 62 years) and 5681 chest radiographs from 3456 patients (2941 men, 2740 women; mean age, 62 years) were analyzed in the CAD-assisted interpretation and conventional interpretation groups, respectively. The diagnostic yield for newly visible metastasis was higher in the CAD-assisted interpretation group (0.86%, 25 of 2916 [95% CI: 0.58, 1.3] vs 0.32%, 18 of 568 [95% CI: 0.20, 0.50%]; <i>P = .</i>004). The false-referral rate in the CAD-assisted interpretation group (0.34%, 10 of 2916 [95% CI: 0.19, 0.64]) was not inferior to that in the conventional interpretation group (0.25%, 14 of 5681 [95% CI: 0.15, 0.42]) at the noninferiority margin of 0.5% (95% CI of difference: -0.15, 0.35). Conclusion A deep learning-based computer-aided detection system improved the diagnostic yield for newly visible metastasis on chest radiographs in patients with cancer with a similar false-referral rate. Â© RSNA, 2021 <i>Online supplemental material is available for this article.</i>",1,1
3782,"Covid-19 rapid test by combining a Random Forest-based web system and blood tests. The disease caused by the new type of coronavirus, Covid-19, has posed major public health challenges for many countries. With its rapid spread, since the beginning of the outbreak in December 2019, the disease transmitted by SARS-CoV-2 has already caused over 2 million deaths to date. In this work, we propose a web solution, called Heg.IA, to optimize the diagnosis of Covid-19 through the use of artificial intelligence. Our system aims to support decision-making regarding to diagnosis of Covid-19 and to the indication of hospitalization on regular ward, semi-ICU or ICU based on decision a Random Forest architecture with 90 trees. The main idea is that healthcare professionals can insert 41 hematological parameters from common blood tests and arterial gasometry into the system. Then, Heg.IA will provide a diagnostic report. The system reached good results for both Covid-19 diagnosis and to recommend hospitalization. For the first scenario we found average results of accuracy of 92.891%Â±0.851, kappa index of 0.858â€‰Â±â€‰0.017, sensitivity of 0.936â€‰Â±â€‰0.011, precision of 0.923â€‰Â±â€‰0.011, specificity of 0.921â€‰Â±â€‰0.012 and area under ROC of 0.984â€‰Â±â€‰0.003. As for the indication of hospitalization, we achieved excellent performance of accuracies above 99% and more than 0.99 for the other metrics in all situations. By using a computationally simple method, based on the classical decision trees, we were able to achieve high diagnosis performance. Heg.IA system may be a way to overcome the testing unavailability in the context of Covid-19.Communicated by Ramaswamy H. Sarma.",0,0
3784,Differentiating Benign from Malignant Renal Tumors Using T2- and Diffusion-Weighted Images: A Comparison of Deep Learning and Radiomics Models Versus Assessment from Radiologists. Differentiating benign from malignant renal tumors is important for selection of the most effective treatment.,1,1
3786,"Relationship Between Medical Questionnaire and Influenza Rapid Test Positivity: Subjective Pretest Probability, ""I Think I Have Influenza,"" Contributes to the Positivity Rate. Introduction Rapid influenza diagnostic tests (RIDTs) are considered essential for determining when to start influenza treatment using anti-influenza drugs, but their accuracy is about 70%. Under the COVID-19 pandemic, we hope to refrain from performing unnecessary RIDTs considering droplet infection of COVID-19 and influenza. We re-examined the medical questionnaire's importance and its relationship to the positivity of RIDTs. Then we built a positivity prediction model for RIDTs using automated artificial intelligence (AI). Methods We retrospectively investigated 96 patients who underwent RIDTs at the outpatient department from December 2019 to March 2020. We used a questionnaire sheet with 24 itemsÂ before conducting RIDTs. The factors associated with the positivity of RIDTs were statistically analyzed. We then used an automated AI framework to produce the positivity prediction model using the 24 items, sex, and age, with five-fold cross-validation. Results Of the 47 women and 49 men (median age was 39 years), 56 patients were RIDTÂ positive with influenza A. The AI-based model using 26 variables had an area under the curve (AUC) of 0.980. The stronger variables are subjective pretest probability, which is a numerically described score ranging from 0% to 100% of ""I think I have influenza,"" cough, past hours after the onset, muscle pain, and maximum body temperature in order. Conclusion We easily built the RIDTÂ positivity prediction model using automated AI. Its AUC was satisfactory, and it suggested the importance of a detailed medical interview. Both the univariate analysis and AI-based model suggested that subjective pretest probability, ""I think I have influenza,"" might be useful.",0,0
3787,"A Fact-Finding Procedure Integrating Machine Learning and AHP Technique to Predict Delayed Diagnosis of Bladder Patients with Hematuria. Bladder cancer, the ninth most common cancer worldwide, requires fast diagnosis and treatment to prevent disease progression and improve patient survival. However, patients with bladder cancer often experience considerable delays in diagnosis. One reason for such delays is that hematuria, a major symptom of bladder cancer, has a high probability of also being a warning sign for urinary tract diseases. Another reason is that the sensitivity of the body parts affected by bladder cancer deters patients from undergoing cystoscopy and influences patients' ""physician shopping"" behavior. In this study, the analytic hierarchy process was used to determine critical variables influencing delayed diagnosis; moreover, the variables were used to construct models for predicting delayed diagnosis in patients with hematuria by using several machine learning techniques. Furthermore, the critical variables associated with delayed diagnosis of bladder cancer in patients with hematuria were evaluated using GainRatio technology. The study sample was selected from a population-based database. The model evaluation results indicated that the prediction model established using decision tree algorithms outperformed the other models. The critical risk factors for delayed diagnosis of bladder cancer were as follows: (1) cystoscopy performed 6 months after hematuria diagnosis and (2) physician shopping.",0,0
3789,"GraphXCOVID: Explainable deep graph diffusion pseudo-Labelling for identifying COVID-19 on chest X-rays. Can one learn to diagnose COVID-19 under extreme minimal supervision? Since the outbreak of the novel COVID-19 there has been a rush for developing automatic techniques for expert-level disease identification on Chest X-ray data. In particular, the use of deep supervised learning has become the go-to paradigm. However, the performance of such models is heavily dependent on the availability of a large and representative labelled dataset. The creation of which is a heavily expensive and time consuming task, and especially imposes a great challenge for a novel disease. Semi-supervised learning has shown the ability to match the incredible performance of supervised models whilst requiring a small fraction of the labelled examples. This makes the semi supervised paradigm an attractive option for identifying COVID-19. In this work, we introduce a graph based deep semi-supervised framework for classifying COVID-19 from chest X-rays. Our framework introduces an optimisation model for graph diffusion that reinforces the natural relation among the tiny labelled set and the vast unlabelled data. We then connect the diffusion prediction output as pseudo-labels that are used in an iterative scheme in a deep net. We demonstrate, through our experiments, that our model is able to outperform the current leading supervised model with a tiny fraction of the labelled examples. Finally, we provide attention maps to accommodate the radiologist's mental model, better fitting their perceptual and cognitive abilities. These visualisation aims to assist the radiologist in judging whether the diagnostic is correct or not, and in consequence to accelerate the decision.",0,0
3794,"Deep learning from HE slides predicts the clinical benefit from adjuvant chemotherapy in hormone receptor-positive breast cancer patients. We hypothesized that a deep-learning algorithm using HE images might be capable of predicting the benefits of adjuvant chemotherapy in cancer patients. HE slides were retrospectively collected from 1343 de-identified breast cancer patients at the Samsung Medical Center and used to develop the Lunit SCOPE algorithm. Lunit SCOPE was trained to predict the recurrence using the 21-gene assay (Oncotype DX) and histological parameters. The risk prediction model predicted the Oncotype DX scoreâ€‰>â€‰25 and the recurrence survival of the prognosis validation cohort and TCGA cohorts. The most important predictive variable was the mitotic cells in the cancer epithelium. Of the 363 patients who did not receive adjuvant therapy, 104 predicted high risk had a significantly lower survival rate. The top-300 genes highly correlated with the predicted risk were enriched for cell cycle, nuclear division, and cell division. From the Oncotype DX genes, the predicted risk was positively correlated with proliferation-associated genes and negatively correlated with prognostic genes from the estrogen category. An integrative analysis using Lunit SCOPE predicted the risk of cancer recurrence and the early-stage hormone receptor-positive breast cancer patients who would benefit from adjuvant chemotherapy.",0,0
3795,"A multi-site, multi-disorder resting-state magnetic resonance image database. Machine learning classifiers for psychiatric disorders using resting-state functional magnetic resonance imaging (rs-fMRI) have recently attracted attention as a method for directly examining relationships between neural circuits and psychiatric disorders. To develop accurate and generalizable classifiers, we compiled a large-scale, multi-site, multi-disorder neuroimaging database. The database comprises resting-state fMRI and structural images of the brain from 993 patients and 1,421 healthy individuals, as well as demographic information such as age, sex, and clinical rating scales. To harmonize the multi-site data, nine healthy participants (""traveling subjects"") visited the sites from which the above datasets were obtained and underwent neuroimaging with 12 scanners. All participants consented to having their data shared and analyzed at multiple medical and research institutions participating in the project, and 706 patients and 1,122 healthy individuals consented to having their data disclosed. Finally, we have published four datasets: 1) the SRPBS Multi-disorder Connectivity Dataset 2), the SRPBS Multi-disorder MRI Dataset (restricted), 3) the SRPBS Multi-disorder MRI Dataset (unrestricted), and 4) the SRPBS Traveling Subject MRI Dataset.",0,0
3800,"Application of an extreme learning machine network with particle swarm optimization in syndrome classification of primary liver cancer. By optimizing the extreme learning machine network with particle swarm optimization, we established a syndrome classification and prediction model for primary liver cancer (PLC), classified and predicted the syndrome diagnosis of medical record data for PLC and compared and analyzed the prediction results with different algorithms and the clinical diagnosis results. This paper provides modern technical support for clinical diagnosis and treatment, and improves the objectivity, accuracy and rigor of the classification of traditional Chinese medicine (TCM) syndromes.",0,0
3803,GenTB: A user-friendly genome-based predictor for tuberculosis resistance powered by machine learning. Multidrug-resistant Mycobacterium tuberculosis (Mtb) is a significant global public health threat. Genotypic resistance prediction from Mtb DNA sequences offers an alternative to laboratory-based drug-susceptibility testing. User-friendly and accurate resistance prediction tools are needed to enable public health and clinical practitioners to rapidly diagnose resistance and inform treatment regimens.,0,0
3805,"Modeling and prediction of pressure injury in hospitalized patients using artificial intelligence. Hospital-acquired pressure injuries (PIs) induce significant patient suffering, inflate healthcare costs, and increase clinical co-morbidities. PIs are mostly due to bed-immobility, sensory impairment, bed positioning, and length of hospital stay. In this study, we use electronic health records and administrative data to examine the contributing factors to PI development using artificial intelligence (AI).",0,0
3807,Machine learning prediction of diabetic foot ulcers in the inpatient population. The objective of this study was to create an algorithm that could predict diabetic foot ulcer (DFU) incidence in the in-patient population.,0,0
3812,"CSR-Net: Cross-Scale Residual Network for multi-objective scaphoid fracture segmentation. The scaphoid is located in the carpals. Owing to the body structure and location of the scaphoid, scaphoid fractures are common and it is difficult to heal. Three-dimensional reconstruction of scaphoid fracture can accurately display the fracture surface and provide important support for the surgical plan involving screw placement. To achieve this goal, in this study, the cross-scale residual network (CSR-Net) is proposed for scaphoid fracture segmentation. In the CSR-Net, the features of different layers are used to achieve fusion through cross-scale residual connection, which realizes scale and channel conversions between the features of different layers. It can establish close connections between different scale features. The structures of the output layer and channel are designed to establish the CSR-Net as a multi-objective architecture, which can realize scaphoid fracture and hand bone segmentations synchronously. In this study, 65 computed tomography images of scaphoid fracture are tested. Quantitative metrics are used for assessment, and the results obtained show that the CSR-Net achieves higher performance in hand bone and scaphoid fracture segmentations. In the visually detailed display, the fracture surface is clearer and more intuitive than those obtained from other methods. Therefore, the CSR-Net can achieve accurate and rapid scaphoid fracture segmentation. Its multi-objective design provides not only an accurate digital model, but also a prerequisite for navigation in the hand bone.",0,0
3819,"Sleep disturbance-related neuroimaging features as potential biomarkers for the diagnosis of major depressive disorder: A multicenter study based on machine learning. Objective biomarkers are crucial for overcoming the clinical dilemma in major depressive disorder (MDD), and the individualized diagnosis is essential to facilitate the precise medicine for MDD.",0,0
3823,"A Deep Learning-enabled Electrocardiogram Model for the Identification of a Rare Inherited Arrhythmia: Brugada Syndrome. Brugada syndrome is a major cause of sudden cardiac death in young people with a distinctive electrocardiogram (ECG) feature. We aimed to develop a deep learning-enabled ECG model for automatic screening Brugada syndrome to identify these patients at an early time, thus allowing for life-saving therapy.",0,0
3825,Early recognition of a caller's emotion in out-of-hospital cardiac arrest dispatching: An artificial intelligence approach. This study aimed to develop an AI model for detecting a caller's emotional state during out-of-hospital cardiac arrest calls by processing audio recordings of dispatch communications.,0,0
